INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ExteriorID	坐骑类别 1-普通坐骑 2-天空坐骑	启用等级	Quality	是否可见	Index	门派限制	名称	图标	ToolTips	CharMountID	移动速度	是否奢侈品	可取出的ID	是否图鉴坐骑	Imp_10	Imp_20	Imp_40	Imp_60	Imp_70	Imp_75	Imp_80	Imp_85	Imp_90	Imp_95	Imp_100
1	1	20	4	1	1	-1	陆行雕	RideHeader1_9	#G	21	10	0	0	0	43101	43198	43295	-1	43392	43489	43586	43683	47705	-1	-1
2	1	40	4	1	2	0	虎	RideHeader1_13	#r#G仅少林门派可召唤。	0	40	0	0	0	43102	43199	43296	-1	43393	43490	43587	43684	47681	-1	-1
3	1	40	4	1	3	6	黄骠马	RideHeader1_1	#r#G仅天龙门派可召唤。	1	40	0	0	0	43103	43200	43297	-1	43394	43491	43588	43685	47683	-1	-1
4	1	40	4	1	4	-1	骆驼	RideHeader1_11	#G	7	80	0	0	0	43104	43201	43298	-1	43395	43492	43589	43686	47710	-1	-1
5	1	40	4	1	5	3	鹤	RideHeader2_2	#r#G仅武当门派可召唤。	5	40	0	0	0	43105	43202	43299	-1	43396	43493	43590	43687	47676	-1	-1
6	1	40	4	1	6	4	青凤	RideHeader1_16	#r#G仅峨嵋门派可召唤。	6	40	0	0	0	43106	43203	43300	-1	43397	43494	43591	43688	47721	-1	-1
7	1	40	4	1	7	5	牦牛	RideHeader1_3	#r#G仅星宿门派可召唤。	8	40	0	0	0	43107	43204	43301	-1	43398	43495	43592	43689	47712	-1	-1
8	1	40	4	1	8	8	鹿	RideHeader1_5	#r#G仅逍遥门派可召唤。	4	40	0	0	0	43108	43205	43302	-1	43399	43496	43593	43690	47709	-1	-1
9	1	40	4	1	9	7	雕	RideHeader1_9	#r#G仅天山门派可召唤。	3	40	0	0	0	43109	43206	43303	-1	43400	43497	43594	43691	47662	-1	-1
10	1	40	4	1	10	2	灰狼	RideHeader1_7	#r#G仅丐帮门派可召唤。	2	40	0	0	0	43110	43207	43304	-1	43401	43498	43595	43692	47684	-1	-1
11	1	60	4	1	12	0	白虎	RideHeader1_14	#r#G仅少林门派可召唤。	9	70	0	0	0	43111	43208	43305	-1	43402	43499	43596	43693	47645	-1	-1
12	1	60	4	1	13	6	青白骢马	RideHeader1_2	#r#G仅天龙门派可召唤。	10	70	0	0	0	43112	43209	43306	-1	43403	43500	43597	43694	47720	-1	-1
13	1	60	4	1	14	-1	白骆驼	RideHeader1_12	#G	16	80	0	0	0	43113	43210	43307	-1	43404	43501	43598	43695	47648	-1	-1
14	1	60	4	1	15	3	金翼鹤	RideHeader2_1	#r#G仅武当门派可召唤。	14	70	0	0	0	43114	43211	43308	-1	43405	43502	43599	43696	47688	-1	-1
