INT	INT	INT	INT	STRING	INT	INT	INT	INT
INDEX	LEVEL	QUAL	???	????	??	????	??1	??2
1	86	6	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
2	86	6	1	Huy南 Binh Th惃h	33800	5	30505821	30505822
3	86	6	2	Huy南 Binh Th惃h	36700	9	30505821	30505822
4	86	6	3	Huy南 Binh Th惃h	40500	14	30505821	30505822
5	86	6	4	Huy南 Binh Th惃h	45100	22	30505821	30505822
6	86	6	5	Huy南 Binh Th惃h	50600	29	30505821	30505822
7	86	6	6	Huy南 Binh Th惃h	56900	36	30505821	30505822
8	86	6	7	Huy南 Binh Th惃h	64000	43	30505821	30505822
9	86	6	8	Huy南 Binh Th惃h	72000	50	30505821	30505822
10	86	6	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
11	96	6	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
12	96	6	1	Huy南 Binh Th惃h	45000	5	30505821	30505822
13	96	6	2	Huy南 Binh Th惃h	49000	9	30505821	30505822
14	96	6	3	Huy南 Binh Th惃h	54000	14	30505821	30505822
15	96	6	4	Huy南 Binh Th惃h	60200	22	30505821	30505822
16	96	6	5	Huy南 Binh Th惃h	67400	29	30505821	30505822
17	96	6	6	Huy南 Binh Th惃h	75800	36	30505821	30505822
18	96	6	7	Huy南 Binh Th惃h	85400	43	30505821	30505822
19	96	6	8	Huy南 Binh Th惃h	96000	50	30505821	30505822
20	96	6	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
21	102	6	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
22	102	6	1	Huy南 Binh Th惃h	56300	5	30505821	30505822
23	102	6	2	Huy南 Binh Th惃h	61200	9	30505821	30505822
24	102	6	3	Huy南 Binh Th惃h	67500	14	30505821	30505822
25	102	6	4	Huy南 Binh Th惃h	75200	22	30505821	30505822
26	102	6	5	Huy南 Binh Th惃h	84300	29	30505821	30505822
27	102	6	6	Huy南 Binh Th惃h	94800	36	30505821	30505822
28	102	6	7	Huy南 Binh Th惃h	106700	43	30505821	30505822
29	102	6	8	Huy南 Binh Th惃h	120000	50	30505821	30505822
30	102	6	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
31	86	7	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
32	86	7	1	Huy南 Binh Th惃h	90500	50	30505821	30505822
33	86	7	2	Huy南 Binh Th惃h	101000	54	30505821	30505822
34	86	7	3	Huy南 Binh Th惃h	112300	58	30505821	30505822
35	86	7	4	Huy南 Binh Th惃h	124500	62	30505821	30505822
36	86	7	5	Huy南 Binh Th惃h	137500	66	30505821	30505822
37	86	7	6	Huy南 Binh Th惃h	151400	70	30505821	30505822
38	86	7	7	Huy南 Binh Th惃h	166100	74	30505821	30505822
39	86	7	8	Huy南 Binh Th惃h	181600	78	30505821	30505822
40	86	7	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
41	96	7	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
42	96	7	1	Huy南 Binh Th惃h	120600	50	30505821	30505822
43	96	7	2	Huy南 Binh Th惃h	134600	54	30505821	30505822
44	96	7	3	Huy南 Binh Th惃h	149800	58	30505821	30505822
45	96	7	4	Huy南 Binh Th惃h	166000	62	30505821	30505822
46	96	7	5	Huy南 Binh Th惃h	183400	66	30505821	30505822
47	96	7	6	Huy南 Binh Th惃h	201800	70	30505821	30505822
48	96	7	7	Huy南 Binh Th惃h	221400	74	30505821	30505822
49	96	7	8	Huy南 Binh Th惃h	242200	78	30505821	30505822
50	96	7	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
51	102	7	0	Huy南 Binh Th惃h	-1	-1	30505821	30505822
52	102	7	1	Huy南 Binh Th惃h	150800	50	30505821	30505822
53	102	7	2	Huy南 Binh Th惃h	168300	54	30505821	30505822
54	102	7	3	Huy南 Binh Th惃h	187200	58	30505821	30505822
55	102	7	4	Huy南 Binh Th惃h	207500	62	30505821	30505822
56	102	7	5	Huy南 Binh Th惃h	229200	66	30505821	30505822
57	102	7	6	Huy南 Binh Th惃h	252300	70	30505821	30505822
58	102	7	7	Huy南 Binh Th惃h	276800	74	30505821	30505822
59	102	7	8	Huy南 Binh Th惃h	302700	78	30505821	30505822
60	102	7	9	Huy南 Binh Th惃h	-1	-1	30505821	30505822
61	102	100	1	Ph鷯 Hy Ng躗	300000	2	38002049	38002048
62	102	100	2	Ph鷯 Hy Ng躗	330000	10	38002049	38002048
63	102	100	3	Ph鷯 Hy Ng躗	360000	20	38002049	38002048
64	102	100	4	Ph鷯 Hy Ng躗	400000	26	38002049	38002048
65	102	100	5	Ph鷯 Hy Ng躗	440000	33	38002049	38002048
66	102	100	6	Ph鷯 Hy Ng躗	480000	41	38002049	38002048
67	102	100	7	Ph鷯 Hy Ng躗	520000	50	38002049	38002048
68	102	100	8	Ph鷯 Hy Ng躗	570000	60	38002049	38002048
69	102	100	9	Ph鷯 Hy Ng躗	620000	71	38002049	38002048
70	102	100	10	Ph鷯 Hy Ng躗	670000	83	38002049	38002048
71	102	100	11	Ph鷯 Hy Ng躗	720000	96	38002049	38002048
72	102	100	12	Ph鷯 Hy Ng躗	780000	110	38002049	38002048
73	102	100	13	Ph鷯 Hy Ng躗	840000	125	38002049	38002048
74	102	100	14	Ph鷯 Hy Ng躗	900000	141	38002049	38002048
75	102	100	15	Ph鷯 Hy Ng躗	960000	158	38002049	38002048
76	102	100	16	Ph鷯 Hy Ng躗	1030000	176	38002049	38002048
77	102	100	17	Ph鷯 Hy Ng躗	1100000	196	38002049	38002048
78	102	100	18	Ph鷯 Hy Ng躗	1170000	218	38002049	38002048
79	102	100	19	Ph鷯 Hy Ng躗	1240000	242	38002049	38002048
